,url,address,neighborhood,rent,beds,baths,area,zip
104,https://www.renthop.com/listings/211-west-106th-street/phd/63797599,"211 West 106th Street, Apt PHD...","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",9350,3,3.0,"2,700_Sqft",10025
105,https://www.renthop.com/listings/215th-st-and-69th-ave/2/18608284,215th St and 69th Ave,"Oakland Gardens, Bayside, Northeastern Queens, Queens",2450,2,1.0,"1,178_Sqft",
106,https://www.renthop.com/listings/330-east-93-street/2b/64397273,"330 East 93 Street, Apt 2B","Yorkville, Upper East Side, Upper Manhattan, Manhattan",2300,0,1.0,,10128
107,https://www.renthop.com/listings/2216-frederick-douglass-blvd/6c/64485716,2216 Frederick Douglass Boulev...,"Central Harlem, Harlem, Upper Manhattan, Manhattan",2944,2,1.0,820_Sqft,10026
108,https://www.renthop.com/listings/broad-street/01/64342862,Broad Street,"Financial District, Downtown Manhattan, Manhattan",4000,0,1.0,,
109,https://www.renthop.com/listings/dutch-street/35c/64294557,Dutch Street,"Financial District, Downtown Manhattan, Manhattan",4080,0,1.0,,
110,https://www.renthop.com/listings/2216-frederick-douglass-blvd/6c/64485716,2216 Frederick Douglass Boulev...,"Central Harlem, Harlem, Upper Manhattan, Manhattan",2944,2,1.0,820_Sqft,10026
111,https://www.renthop.com/listings/222-east-12th-street-new-york-ny-10003/4c/64058810,"222 East 12th Street, Apt 4C","East Village, Downtown Manhattan, Manhattan",4100,0,1.0,"1,000_Sqft",10003
112,https://www.renthop.com/listings/808-columbus-ave/10n/64246490,"808 Columbus Avenue, Apt 10N","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",4567,0,1.0,412_Sqft,10025
113,https://www.renthop.com/listings/19-dutch-street/57e/64330454,"19 Dutch Street, Apt 57E","Financial District, Downtown Manhattan, Manhattan",5580,1,1.0,,10038
114,https://www.renthop.com/listings/247-west-63rd-street/pf/64427572,"247 West 63rd Street, Apt PF","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",3400,2,1.0,,10023
115,https://www.renthop.com/listings/808-columbus-ave/ph2-f/64294129,"808 Columbus Avenue, Apt PH2F","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",10411,2,2.0,"1,152_Sqft",10025
116,https://www.renthop.com/listings/338-east-92nd-street/15/64465927,"338 East 92nd Street, Apt 15","Yorkville, Upper East Side, Upper Manhattan, Manhattan",3250,2,1.0,,10128
117,https://www.renthop.com/listings/474-9th-avenue/3d/63903228,"474 9th Avenue, Apt 3D","Garment District, Hudson Yards, Midtown Manhattan, Manhattan",4500,2,1.0,,10018
118,https://www.renthop.com/listings/5203-center-boulevard/5508/64459998,"5203 Center Boulevard, Apt #55...","Hunters Point, Long Island City, Northwestern Queens, Queens",7636,2,2.0,,11101
119,https://www.renthop.com/listings/325-east-5th-street/a1/64485430,"325 East 5th Street, Apt A1","East Village, Downtown Manhattan, Manhattan",12500,5,2.5,,10003
120,https://www.renthop.com/listings/west-43rd-street/12d/64483459,West 43rd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",3900,0,1.0,,
121,https://www.renthop.com/listings/120-w-21st/1209/63971261,"120 W. 21st, Apt 1209","Chelsea, Midtown Manhattan, Manhattan",4345,0,1.0,427_Sqft,10011
122,https://www.renthop.com/listings/605-w-42nd-street-22w/22w/64464892,"605 West 42nd Street, Apt 22W","Hell's Kitchen, Midtown Manhattan, Manhattan",5300,1,1.0,,10036
123,https://www.renthop.com/listings/30-47-29th-street/26/64459027,"30-47 29th Street, Apt 26","Astoria, Northwestern Queens, Queens",2557,2,1.0,,
124,https://www.renthop.com/listings/west-34th-street/888/15432737,West 34th Street,"Koreatown, Midtown South, Midtown Manhattan, Manhattan",5700,1,1.0,,
125,https://www.renthop.com/listings/east-9th-street/9/64485726,East 9th Street,"Kensington, Central Brooklyn, Brooklyn",5250,2,1.0,,
126,https://www.renthop.com/listings/116-john-street/3302/64351719,"116 John Street, Apt 3302","Financial District, Downtown Manhattan, Manhattan",4950,1,2.0,,10038
